Inventarisnr.;;Inv.srt,Omschrijving,Straat,Thv,Deelgem.;Mutdatum
FT247,FT,Fietstrommel,P V ASCHSTR,45,Overschie,13-7-2010
FT248,FT,Fietstrommel,P V ASCHSTR,22,Overschie,7-6-2009
FT249,FT,Fietstrommel,SCHIELN,23,Overschie,7-6-2009
FT25,FT,Fietstrommel,BREITNERSTR,89 a,Centrum,7-6-2009
FT250,FT,Fietstrommel,ZESTIENHOVENSEKD,250,Overschie  ,7-6-2009
FT251,FT,Fietstrommel,CLEYBURCHSTR,48,Noord,13-7-2010
FT252,FT,Fietstrommel,VD DUSSENSTR,10,Noord,13-7-2010
FT253,FT,Fietstrommel,VD DUSSENSTR,12,Noord,7-6-2009
FT254,FT,Fietstrommel,BYLWERFFSTR,20,Noord,13-7-2010
FT255,FT,Fietstrommel,SOURYSTR,50,Noord,7-6-2009
FT256,FT,Fietstrommel,SOURYSTR,50,Noord,13-7-2010
FT257,FT,Fietstrommel,NOORDERHAVENKD,31,Noord,7-6-2009
FT258,FT,Fietstrommel,NOORDERHAVENKD,65,Noord,7-6-2009
FT259,FT,Fietstrommel,SONMANSSTR,138,Noord,13-7-2010
FT26,FT,Fietstrommel,BREITNERSTR,109 c,Centrum,7-6-2009
FT260,FT,Fietstrommel,SONMANSSTR,140,Noord,13-7-2010
FT261,FT,Fietstrommel,NOBELSTR,101,Noord,13-7-2010
FT262,FT,Fietstrommel,DE KEMPENAERSTR,12,Noord,13-7-2010
FT263,FT,Fietstrommel,LUZACSTR,2,Noord,7-6-2009
FT264,FT,Fietstrommel,KERDYKSTR,16,Noord,1-4-2011
FT265,FT,Fietstrommel,BERGSELN,277,Noord,13-7-2010
FT266,FT,Fietstrommel,BERGSELN,305,Noord,13-7-2010
FT267,FT,Fietstrommel,BERGSELN,338,Noord,7-6-2009
FT268,FT,Fietstrommel,BERGSELN,364,Noord,13-7-2010
FT269,FT,Fietstrommel,SCHIEWG,104,Noord,13-7-2010
FT27,FT,Fietstrommel,OCHTERVELTSTR,23,Centrum,7-6-2009
FT270,FT,Fietstrommel,SCHIEWG,117,Noord,7-6-2009
FT271,FT,Fietstrommel,STADHOUDERSWG,86,Noord,13-7-2010
FT272,FT,Fietstrommel,NOLENSSTR,69,Noord,13-7-2010
FT273,FT,Fietstrommel,NOLENSSTR,47,Noord,13-7-2010
FT274,FT,Fietstrommel,DOEZASTR,17,Noord,13-7-2010
FT275,FT,Fietstrommel,STATENSNGL,48,Noord,13-7-2010
FT276,FT,Fietstrommel,STATENSNGL,48,Noord,13-7-2010
FT277,FT,Fietstrommel,STATENSNGL,29,Noord,13-7-2010
FT278,FT,Fietstrommel,STATIONSSNGL,107,Noord,13-7-2010
FT279,FT,Fietstrommel,STATIONSSNGL,97,Noord,13-7-2010
FT28,FT,Fietstrommel,OCHTERVELTSTR,48,Centrum,7-6-2009
